WKT;codvia;lf_add;lt_add;rf_add;rt_add;tipcalle;nomcalle;longitud;tipnomcall
"LINESTRING (729782.876 4372707.466,729793.376 4372790.966,729796.376 4372814.466)";54660;377;407;314;342;C;PADRE LUIS NAVARRO;107.84831;C. PADRE LUIS NAVARRO
"LINESTRING (725400.151 4372707.60699999984,725391.151 4372731.10699999984)";12120;0;0;2;4;C;BOTELLAS;25.16446;C. BOTELLAS
"LINESTRING (725400.151 4372707.60699999984,725415.124 4372711.092)";19680;2;3;0;0;PL;COMUNION DE SAN JUAN;12.73345;PL. COMUNION DE SAN JUAN
"LINESTRING (724476.276 4372707.61099999957,724437.152 4372774.61099999957)";52830;1;9;2;10;C;NORTE;77.58715;C. NORTE
"LINESTRING (724624.652 4372744.11,724476.276 4372707.61099999957)";62010;107;123;108;122;C;QUART;152.79853;C. QUART
"LINESTRING (725722.713 4372708.60599999968,725695.963 4372712.60599999968)";33870;1;1;2;2;PJE;GINER;27.04741;PJE. GINER
"LINESTRING (725722.713 4372708.60599999968,725725.714 4372739.605,725731.339 4372763.605,725731.464 4372764.605)";78000;9;12;0;0;PL;REINA;56.80297;PL. REINA
"LINESTRING (725679.15 4372708.60599999968,725664.963 4372710.60599999968)";48630;10;10;11;11;PL;MIRACLE DEL MOCADORET;14.32778;PL. MIRACLE DEL MOCADORET
"LINESTRING (725680.713 4372715.60599999968,725680.275 4372713.60599999968,725679.15 4372708.60599999968)";48630;0;0;0;0;PL;MIRACLE DEL MOCADORET;7.17229;PL. MIRACLE DEL MOCADORET
"LINESTRING (725615.963 4372709.10599999968,725594.651 4372730.10599999968)";78090;9;11;6;10;C;ZAPATERIA DE LOS NIÑOS;29.92027;C. ZAPATERIA DE LOS NIÑOS
"LINESTRING (725615.963 4372709.10599999968,725618.589 4372736.10599999968,725621.964 4372775.10599999968)";78330;1;11;2;10;C;ZURRADORES;66.27307;C. ZURRADORES
"LINESTRING (725164.776 4372709.608,725136.214 4372714.608)";58500;7;11;24;24;C;PINTOR DOMINGO;28.99683;C. PINTOR DOMINGO
"LINESTRING (725164.776 4372709.608,725171.026 4372742.608)";76500;17;17;14;20;C;VILLENA;33.58664;C. VILLENA
"LINESTRING (729725.565 4372713.97,729729.439 4372713.47,729753.814 4372710.468,729756.064 4372710.468)";13860;9;9;10;10;C;DON VICENTE GUILLOT (TIO BOLA);30.71605;C. DON VICENTE GUILLOT (TIO BOLA)
