"","ciudad","TVIA","NVIA","Latitud","longitud","NOMBRE"
"944","Madrid","CALLE","LITAGO                                            ","41,81446","-1,751145","Aragón"
"945","Madrid","CALLE","LONGARES                                          ","41,40359","-1,168638","Aragón"
"946","Madrid","TRVA ","LONGARES                                          ","41,40359","-1,168638","Aragón"
"947","Madrid","CALLE","LUNA                                              ","42,1665","-0,9318546","Aragón"
"948","Madrid","CALLE","MONTERDE                                          ","41,17434","-1,734744","Aragón"
"949","Madrid","RONDA","SOBRADIEL                                         ","41,74047","-1,035496","Aragón"
"950","Madrid","CALLE","TARAZONA                                          ","41,90277","-1,7254","Aragón"
"951","Madrid","CALLE","UTEBO                                             ","41,71503","-0,9947444","Aragón"
"952","Madrid","CALLE","ZARAGOZA                                          ","41,65629","-0,8765379","Aragón"
"953","Madrid","CALLE","ZUERA                                             ","41,86918","-0,7881644","Aragón"
"954","Madrid","CALLE","CANGAS DEL NARCEA                                 ","43,17706","-6,549129","Asturias, Principado de"
"955","Madrid","CALLE","LAVIANA                                           ","43,23576","-5,55625","Asturias, Principado de"
"956","Madrid","CALLE","LLANES                                            ","43,41953","-4,750914","Asturias, Principado de"
"957","Madrid","CALLE","MIERES                                            ","43,25179","-5,776198","Cataluña"
"958","Madrid","CALLE","MIERES                                            ","43,25179","-5,776198","Asturias, Principado de"
"959","Madrid","CALLE","OVIEDO                                            ","43,36026","-5,844759","Asturias, Principado de"
"960","Madrid","CALLE","SALAS                                             ","43,40976","-6,260448","Asturias, Principado de"
"961","Madrid","CALLE","SIERO                                             ","43,383","-5,65","Asturias, Principado de"
"962","Madrid","CALLE","TAPIA DE CASARIEGO                                ","43,56975","-6,943604","Asturias, Principado de"
"963","Madrid","PLAZA","PUERTO DE LA CRUZ                                 ","28,41339","-16,54516","Canarias"
"964","Madrid","GALE ","VALLEHERMOSO                                      ","28,17902","-17,26406","Canarias"
"965","Madrid","CALLE","VALLEHERMOSO                                      ","28,17902","-17,26406","Canarias"
"966","Madrid","PLAZA","VILAFLOR                                          ","28,15728","-16,63811","Canarias"
"967","Madrid","CALLE","ARENAS DE IGUÑA                                   ","43,18615","-4,050034","Cantabria"
"968","Madrid","PLAZA","CIEZA                                             ","43,21667","-4,083333","Murcia, Región de"
"969","Madrid","PLAZA","CIEZA                                             ","43,21667","-4,083333","Cantabria"
"970","Madrid","CALLE","LAREDO                                            ","43,41148","-3,412477","Cantabria"
"971","Madrid","CALLE","SANTANDER                                         ","43,46096","-3,807934","Cantabria"
"972","Madrid","CALLE","SANTILLANA DEL MAR                                ","43,38897","-4,10918","Cantabria"
"973","Madrid","CALLE","ALBACETE                                          ","38,99765","-1,86007","Castilla-La Mancha"
"974","Madrid","CALLE","ALBOREA                                           ","39,27951","-1,39587","Castilla-La Mancha"
"975","Madrid","CALLE","POVEDILLA                                         ","38,70169","-2,603873","Castilla-La Mancha"
"976","Madrid","CALLE","ROBLEDO                                           ","38,75912","-2,448879","Castilla-La Mancha"
"977","Madrid","CALLE","VILLAPALACIOS                                     ","38,5746","-2,635532","Castilla-La Mancha"
"978","Madrid","CALLE","VILLAVALIENTE                                     ","39,12596","-1,458606","Castilla-La Mancha"
"979","Madrid","CALLE","ALMAGRO                                           ","38,8909","-3,706416","Castilla-La Mancha"
"980","Madrid","PLAZA","CAMPO DE CRIPTANA                                 ","39,40229","-3,12215","Castilla-La Mancha"
"981","Madrid","CALLE","CIUDAD REAL                                       ","38,9861","-3,927263","Castilla-La Mancha"
"982","Madrid","CALLE","PIEDRABUENA                                       ","39,03277","-4,175645","Castilla-La Mancha"
"983","Madrid","CALLE","PUERTOLLANO                                       ","38,68604","-4,112146","Castilla-La Mancha"
"984","Madrid","CALLE","RUIDERA                                           ","38,97551","-2,884297","Castilla-La Mancha"
"985","Madrid","CALLE","TOMELLOSO                                         ","39,15775","-3,020807","Castilla-La Mancha"
"986","Madrid","CALLE","CAÑETE                                            ","40,04148","-1,646305","Castilla-La Mancha"
"987","Madrid","CALLE","CUENCA                                            ","40,07183","-2,134005","Castilla-La Mancha"
"988","Madrid","CALLE","HONRUBIA                                          ","39,61238","-2,284828","Castilla-La Mancha"
"989","Madrid","CALLE","LAGUNA DEL MARQUESADO                             ","40,17827","-1,672261","Castilla-La Mancha"
"990","Madrid","CALLE","MOTA DEL CUERVO                                   ","39,50294","-2,873104","Castilla-La Mancha"
"991","Madrid","CALLE","SAN CLEMENTE                                      ","39,40189","-2,424473","Castilla-La Mancha"
"992","Madrid","PSAJE","SAN CLEMENTE                                      ","39,40189","-2,424473","Castilla-La Mancha"
"993","Madrid","CALLE","TRIBALDOS                                         ","39,97273","-2,899395","Castilla-La Mancha"
"994","Madrid","CALLE","VILLAMAYOR DE SANTIAGO                            ","39,72784","-2,92358","Castilla-La Mancha"
"995","Madrid","CALLE","VILLARTA                                          ","39,4413","-1,652952","Castilla-La Mancha"
"996","Madrid","CALLE","ZARZUELA                                          ","40,25455","-2,12783","Castilla-La Mancha"
"997","Madrid","CMNO ","ZARZUELA                                          ","40,25455","-2,12783","Castilla-La Mancha"
"998","Madrid","CALLE","ALBENDIEGO                                        ","41,23004","-3,053864","Castilla-La Mancha"
"999","Madrid","CALLE","ALCOCER                                           ","40,46987","-2,610925","Castilla-La Mancha"
"1000","Madrid","CALLE","ALGORA                                            ","40,96341","-2,666353","Castilla-La Mancha"
"1001","Madrid","CALLE","ALMOGUERA                                         ","40,29783","-2,98217","Castilla-La Mancha"
"1002","Madrid","CALLE","ALOVERA                                           ","40,5967","-3,248165","Castilla-La Mancha"
"1003","Madrid","CALLE","ALUSTANTE                                         ","40,61554","-1,660092","Castilla-La Mancha"
"1004","Madrid","CALLE","ANGUITA                                           ","41,02637","-2,368177","Castilla-La Mancha"
"1005","Madrid","CALLE","BRIHUEGA                                          ","40,75965","-2,870508","Castilla-La Mancha"
"1006","Madrid","CALLE","CENTENERA                                         ","40,65305","-3,053849","Castilla-La Mancha"
"1007","Madrid","CALLE","FUENTENOVILLA                                     ","40,36467","-3,094111","Castilla-La Mancha"
"1008","Madrid","CALLE","MARCHAMALO                                        ","40,66821","-3,200962","Castilla-La Mancha"
"1009","Madrid","CALLE","MATILLAS                                          ","40,95211","-2,842353","Castilla-La Mancha"
"1010","Madrid","CALLE","MILMARCOS                                         ","41,08623","-1,876277","Castilla-La Mancha"
"1011","Madrid","CALLE","MOHERNANDO                                        ","40,80423","-3,173942","Castilla-La Mancha"
"1012","Madrid","CALLE","TRILLO                                            ","40,70134","-2,593588","Castilla-La Mancha"
"1013","Madrid","CALLE","VIÑUELAS                                          ","40,79491","-3,34408","Castilla-La Mancha"
"1014","Madrid","CALLE","ZAOREJAS                                          ","40,76192","-2,202039","Castilla-La Mancha"
"1015","Madrid","CALLE","CARRANQUE                                         ","40,1697","-3,901091","Castilla-La Mancha"
"1016","Madrid","CALLE","CAZALEGAS                                         ","40,01085","-4,67746","Castilla-La Mancha"
"1017","Madrid","CMNO ","CEBOLLA                                           ","39,9479","-4,569388","Castilla-La Mancha"
"1018","Madrid","PLAZA","CHOZAS DE CANALES                                 ","40,09974","-4,041364","Castilla-La Mancha"
"1019","Madrid","CALLE","CORRAL DE ALMAGUER                                ","39,76015","-3,166829","Castilla-La Mancha"
"1020","Madrid","CALLE","ILLESCAS                                          ","40,12416","-3,849206","Castilla-La Mancha"
"1021","Madrid","CALLE","LAGARTERA                                         ","39,90598","-5,20118","Castilla-La Mancha"
"1022","Madrid","CMNO ","NAVAHERMOSA                                       ","39,63567","-4,469614","Castilla-La Mancha"
"1023","Madrid","CALLE","NOBLEJAS                                          ","39,98035","-3,439631","Castilla-La Mancha"
"1024","Madrid","CALLE","OCAÑA                                             ","39,96031","-3,499733","Castilla-La Mancha"
"1025","Madrid","CALLE","ORGAZ                                             ","39,64753","-3,874646","Castilla-La Mancha"
"1026","Madrid","CALLE","OTERO                                             ","40,00064","-4,515163","Castilla-La Mancha"
"1027","Madrid","CALLE","SONSECA                                           ","39,67621","-3,973744","Castilla-La Mancha"
"1028","Madrid","CALLE","TOLEDO                                            ","39,85678","-4,024476","Castilla-La Mancha"
"1029","Madrid","RONDA","TOLEDO                                            ","39,85678","-4,024476","Castilla-La Mancha"
"1030","Madrid","CALLE","TORRIJOS                                          ","39,98128","-4,284419","Castilla-La Mancha"
"1031","Madrid","CALLE","UGENA                                             ","40,15582","-3,876736","Castilla-La Mancha"
"1032","Madrid","CALLE","VALDEVERDEJA                                      ","39,79899","-5,246643","Castilla-La Mancha"
"1033","Madrid","CMNO ","VELADA                                            ","39,98071","-4,979115","Castilla-La Mancha"
"1034","Madrid","CALLE","VILLACAÑAS                                        ","39,62555","-3,331701","Castilla-La Mancha"
"1035","Madrid","CALLE","ADANERO                                           ","40,94591","-4,606659","Castilla y León"
"1036","Madrid","CALLE","BURGOHONDO                                        ","40,41368","-4,786215","Castilla y León"
"1037","Madrid","CALLE","CARDEÑOSA                                         ","40,74177","-4,745263","Castilla y León"
"1038","Madrid","CALLE","FONTIVEROS                                        ","40,9306","-4,967885","Castilla y León"
"1039","Madrid","CALLE","GOTARRENDURA                                      ","40,82674","-4,739214","Castilla y León"
"1040","Madrid","CALLE","GUISANDO                                          ","40,22166","-5,139702","Castilla y León"
"1041","Madrid","CALLE","HOYOS DEL ESPINO                                  ","40,35726","-5,173525","Castilla y León"
"1042","Madrid","PSAJE","HOYOS DEL ESPINO                                  ","40,35726","-5,173525","Castilla y León"
"1043","Madrid","CALLE","HURTUMPASCUAL                                     ","40,69209","-5,112507","Castilla y León"
"1044","Madrid","CALLE","NAVALUENGA                                        ","40,41096","-4,707685","Castilla y León"
"1045","Madrid","CALLE","PIEDRALAVES                                       ","40,31736","-4,69809","Castilla y León"
"1046","Madrid","CALLE","SAN PASCUAL                                       ","40,88227","-4,756086","Castilla y León"
"1047","Madrid","CALLE","ARANDILLA                                         ","41,73776","-3,428753","Castilla y León"
"1048","Madrid","CALLE","ARCOS                                             ","42,26453","-3,755465","Castilla y León"
"1049","Madrid","CALLE","ATAPUERCA                                         ","42,37701","-3,507772","Castilla y León"
"1050","Madrid","CALLE","BAÑOS DE VALDEARADOS                              ","41,76987","-3,556313","Castilla y León"
"1051","Madrid","CALLE","BASCUÑANA                                         ","42,42544","-3,082017","Castilla y León"
"1052","Madrid","CALLE","BURGOS                                            ","42,34087","-3,699731","Castilla y León"
"1053","Madrid","AVDA ","BURGOS                                            ","42,34087","-3,699731","Castilla y León"
"1054","Madrid","CALLE","CALERUEGA                                         ","41,82503","-3,486718","Castilla y León"
"1055","Madrid","PSAJE","CALERUEGA                                         ","41,82503","-3,486718","Castilla y León"
"1056","Madrid","CALLE","CARDEÑUELA RIOPICO                                ","42,35997","-3,55778","Castilla y León"
"1057","Madrid","CALLE","CONDADO DE TREVIÑO                                ","42,7349","-2,74691","Castilla y León"
