"","ciudad","TVIA","origen","Latitud","longitud","comunidad"
"321","Barcelona","C    ","Deltebre","40,71944","0,7083474","Cataluña"
"322","Barcelona","AV   ","Flix","41,22744","0,5446956","Cataluña"
"323","Barcelona","C    ","Llorenç del Penedès","41,2842","1,550656","Cataluña"
"324","Barcelona","C    ","Masdenverge","40,71414","0,5311569","Cataluña"
"325","Barcelona","C    ","Montmell, El","41,3175","1,454167","Cataluña"
"326","Barcelona","C    ","Pallaresos, Els","41,17577","1,272141","Cataluña"
"327","Barcelona","C    ","Pla de Santa Maria, El","41,36256","1,293029","Cataluña"
"328","Barcelona","C    ","Pobla de Montornès, La","41,17878","1,414619","Cataluña"
"329","Barcelona","C    ","Querol","41,42447","1,397865","Cataluña"
"330","Barcelona","AV   ","Reus","41,15482","1,108676","Cataluña"
"331","Barcelona","C    ","Riba-roja d'Ebre","41,25058","0,4876638","Cataluña"
"332","Barcelona","C    ","Riudoms","41,13861","1,055814","Cataluña"
"333","Barcelona","C    ","Roda de Barà","41,18538","1,456687","Cataluña"
"334","Barcelona","C    ","Roquetes","40,82109","0,5021107","Cataluña"
"335","Barcelona","C    ","Sant Jaume d'Enveja","40,70399","0,7173735","Cataluña"
"336","Barcelona","PTGE ","Sant Jaume d'Enveja","40,70399","0,7173735","Cataluña"
"337","Barcelona","CTRA ","Santa Bàrbara","40,71442","0,4922784","Cataluña"
"338","Barcelona","TRVA ","Sarral","41,4454","1,246136","Cataluña"
"339","Barcelona","C    ","Sarral","41,4454","1,246136","Cataluña"
"340","Barcelona","C    ","Sénia, La","40,63339","0,2853313","Cataluña"
"341","Barcelona","C    ","Ulldecona","40,59736","0,4428432","Cataluña"
"342","Barcelona","C    ","Valls","41,28728","1,251579","Cataluña"
"343","Barcelona","CTRA ","Valls","41,28728","1,251579","Cataluña"
"344","Barcelona","C    ","Vandellòs i l'Hospitalet de l'Infant","41,02011","0,8329072","Cataluña"
"345","Barcelona","CTRA ","Vendrell, El","41,22042","1,534845","Cataluña"
"346","Barcelona","C    ","Vila-rodona","41,30967","1,35811","Cataluña"
"347","Barcelona","C    ","Vilallonga del Camp","41,209","1,20726","Cataluña"
"348","Barcelona","CALLE","Fuente del Maestre","38,52863","-6,449848","Extremadura"
"349","Barcelona","CALLE","Mérida","38,91586","-6,345606","Extremadura"
"350","Barcelona","CALLE","Sancti-Spíritus","38,92467","-5,14595","Castilla y León"
"351","Barcelona","CALLE","Saucedilla","39,85294","-5,677233","Extremadura"
"352","Barcelona","CALLE","Rozas de Puerto Real","40,31007","-4,490765","Madrid, Comunidad de"
"353","Barcelona","CALLE","Valdetorres de Jarama","40,69559","-3,514251","Madrid, Comunidad de"
